Scenario,Average,CI-L,CI-H
49,26.2373827915,25.3228898888,27.1518756941
50,15.5479480164,14.6828509594,16.4130450734
51,8.4421399184,8.01193135471,8.87234848208
52,26.6357652872,25.7642683707,27.5072622037
53,15.0965937099,14.2840786051,15.9091088148
54,6.98198814643,6.73441896979,7.22955732307
55,36.0161251223,34.8426999908,37.1895502538
56,31.4640186297,30.4208103406,32.5072269189
57,9.44178408376,8.94881790093,9.93475026659
58,35.8140956249,34.6875076216,36.9406836281
59,31.5668213205,30.4892351222,32.6444075188
60,8.44112735953,7.99383412147,8.88842059758
61,36.0811775268,34.965288338,37.1970667155
62,32.3708216921,31.3229307767,33.4187126075
63,7.18958233795,6.90087170856,7.47829296735
64,29.2252629893,28.0820701814,30.3684557971
65,36.3276852357,35.1866461737,37.4687242977
66,12.2590395422,11.3278254927,13.1902535918
67,28.4826869421,27.2901874263,29.675186458
68,36.3721367901,35.2479528314,37.4963207487
69,12.0033501316,11.1311444655,12.8755557977
70,28.1634082808,27.0749228406,29.251893721
71,35.968517204,34.8641489853,37.0728854227
72,12.0240154824,11.1429561358,12.9050748291
73,21.2572113963,20.5080198459,22.0064029466
74,28.126162833,27.0177234138,29.2346022523
75,28.646185888,27.7858904726,29.5064813033
76,21.1381388453,20.3850320687,21.8912456219
77,27.8298596228,26.6853018173,28.9744174283
78,30.517068232,29.7026570253,31.3314794387
79,20.9946605844,20.2323957439,21.7569254249
80,27.3229818784,26.2143852382,28.4315785185
81,31.907286685,31.2945713002,32.5200020698
82,16.8359161301,15.9483367457,17.7234955146
83,17.4133266975,16.6214693499,18.205184045
84,16.9531400587,16.026677235,17.8796028824
85,11.740252296,11.1162091579,12.3642954342
86,11.7390154445,10.9697351084,12.5082957807
87,12.4807003125,11.7973964991,13.1640041258
88,6.98198814643,6.73441896979,7.22955732307
89,6.98198814643,6.73441896979,7.22955732307
90,6.98198814643,6.73441896979,7.22955732307
91,26.3016244246,25.3409987775,27.2622500716
92,19.6277544953,18.4811931841,20.7743158065
93,16.0169561615,15.2766065973,16.7573057257
94,26.0985047285,25.0576123515,27.1393971056
95,17.3710519191,16.3041764022,18.437927436
96,10.995669029,10.2642511216,11.7270869365
97,27.1128884452,26.2226974607,28.0030794297
98,15.7475133097,14.9318777417,16.5631488777
99,6.98198814643,6.73441896979,7.22955732307
