ID,Scenario,Time
436,5,4995
437,5,5028
438,5,21582
439,5,5445
440,5,4773
441,5,4531
442,5,4527
443,5,4548
444,5,4541
445,5,4590
446,5,4657
447,5,4551
448,5,4611
449,5,4572
450,5,4640
451,5,5325
452,5,5236
453,5,5289
454,5,5339
455,5,79634
456,5,5518
457,5,5562
458,5,5519
459,5,6010
460,5,6907
461,5,3854
462,5,3930
463,5,3687
464,5,3809
465,5,3659
466,5,3681
467,5,4529
468,5,3881
469,5,3742
470,5,3744
471,5,3727
472,5,4010
473,5,3800
474,5,3674
475,5,3705
476,5,3788
477,5,3753
478,5,3637
479,5,3757
480,5,4140
481,5,4638
482,5,4437
483,5,4480
484,5,4489
485,5,4698
486,5,4930
487,5,4668
488,5,4718
489,5,4712
490,5,4774
491,5,4617
492,5,4551
493,5,4692
494,5,4545
495,5,4525
496,5,4528
497,5,4534
498,5,4571
499,5,4704
500,5,4816
501,6,4701
502,6,4688
503,6,4820
504,6,4665
505,6,5076
506,6,5275
507,6,4888
508,6,4947
509,6,4815
510,6,4807
511,6,4505
512,6,4974
513,6,4407
514,6,4180
515,6,4507
516,6,4459
517,6,4405
518,6,4462
519,6,4498
520,6,4406
521,6,4564
522,6,4696
523,6,4586
524,6,4683
525,6,4696
526,6,4687
527,6,4627
528,6,4635
529,6,4691
530,6,4627
531,6,5115
532,6,4831
533,6,4823
534,6,4743
535,6,4694
536,6,4743
537,6,4747
538,6,4729
539,6,4708
540,6,4882
541,6,4516
542,6,4556
543,6,5359
544,6,4703
545,6,4577
546,6,4557
547,6,4633
548,6,4533
549,6,4536
550,6,4588
551,6,5541
552,6,6437
553,6,5499
554,6,5507
555,6,5358
556,6,5571
557,6,5605
558,6,5315
559,6,5499
560,6,5396
561,6,3903
562,6,3757
563,6,3866
564,6,3683
565,6,3649
566,6,3677
567,6,3660
568,6,3657
569,6,3617
570,6,3636
571,6,3685
572,6,3697
573,6,3688
574,6,3918
575,6,3882
576,6,3807
577,6,3704
578,6,3694
579,6,3714
580,6,3737
581,6,4728
582,6,4757
583,6,4751
584,6,4775
585,6,4952
586,6,4750
587,6,4678
588,6,4674
589,6,4655
590,6,4639
591,6,4624
592,6,4694
593,6,4570
594,6,4509
595,6,4515
596,6,4603
597,6,4530
598,6,4518
599,6,4545
600,6,4557
601,7,4792
602,7,4846
603,7,5312
604,7,5448
605,7,5867
606,7,5603
607,7,5866
608,7,6490
609,7,7365
610,7,5968
611,7,4533
612,7,4453
613,7,4389
614,7,4391
615,7,4502
616,7,4637
617,7,4669
618,7,4489
619,7,5625
620,7,4776
621,7,4733
622,7,4589
623,7,4788
624,7,4946
625,7,4885
626,7,4669
627,7,4692
628,7,4548
629,7,4602
630,7,4927
631,7,4852
632,7,4495
633,7,4836
634,7,8293
635,7,4588
636,7,4721
637,7,4525
638,7,4558
639,7,5354
640,7,4518
641,7,4571
642,7,4568
643,7,4523
644,7,4604
645,7,4517
646,7,4522
647,7,4626
648,7,4537
649,7,4619
650,7,5190
651,7,5230
652,7,5242
653,7,5549
654,7,5318
655,7,5290
656,7,5280
657,7,5400
658,7,5675
659,7,5346
660,7,5296
661,7,3709
662,7,3800
663,7,3676
664,7,3749
665,7,3610
666,7,3666
667,7,3683
668,7,3691
669,7,3614
670,7,3581
671,7,3689
672,7,3719
673,7,3713
674,7,3703
675,7,3715
676,7,3680
677,7,3685
678,7,3658
679,7,3705
680,7,3629
681,7,4600
682,7,4555
683,7,4723
684,7,4747
685,7,4826
686,7,4630
687,7,4547
688,7,4703
689,7,4566
690,7,4684
691,7,4683
692,7,4529
693,7,4545
694,7,4530
695,7,4484
696,7,4500
697,7,4588
698,7,4530
699,7,4748
700,7,4451
701,8,6338
702,8,7218
703,8,6244
704,8,4801
705,8,4820
706,8,4827
707,8,4890
708,8,4775
709,8,5638
710,8,4865
711,8,4333
712,8,4582
713,8,4477
714,8,4525
715,8,4711
716,8,4387
717,8,4462
718,8,4528
719,8,4477
720,8,4566
721,8,4626
722,8,4699
723,8,4641
724,8,4755
725,8,4735
726,8,4692
727,8,4708
728,8,4738
729,8,4722
730,8,4787
731,8,4576
732,8,4650
733,8,4504
734,8,4567
735,8,15532
736,8,4551
737,8,4489
738,8,4827
739,8,4756
740,8,4652
741,8,4857
742,8,4725
743,8,5282
744,8,4606
745,8,4578
746,8,4703
747,8,4618
748,8,4371
749,8,4679
750,8,4790
751,8,5531
752,8,5376
753,8,5395
754,8,5541
755,8,5641
756,8,5371
757,8,5251
758,8,5474
759,8,5255
760,8,5378
761,8,3775
762,8,3840
763,8,3889
764,8,3846
765,8,3624
766,8,3726
767,8,3642
768,8,3638
769,8,3659
770,8,3832
771,8,3568
772,8,3695
773,8,3729
774,8,3763
775,8,3980
776,8,4311
777,8,3810
778,8,3884
779,8,3688
780,8,3731
781,8,4827
782,8,5313
783,8,4737
784,8,4747
785,8,4595
786,8,4762
787,8,4649
788,8,4681
789,8,4752
790,8,4572
791,8,4541
792,8,4520
793,8,4281
794,8,4271
795,8,4453
796,8,4771
797,8,4802
798,8,4781
799,8,4533
800,8,4517
801,9,4827
802,9,4872
803,9,4797
804,9,4815
805,9,4811
806,9,4825
807,9,4910
808,9,4771
809,9,4818
810,9,4835
811,9,4395
812,9,4437
813,9,4503
814,9,4433
815,9,5495
816,9,4594
817,9,4688
818,9,4459
819,9,4496
820,9,4438
821,9,4702
822,9,4621
823,9,4636
824,9,4633
825,9,4708
826,9,4694
827,9,4728
828,9,4750
829,9,4889
830,9,4695
831,9,4629
832,9,4547
833,9,4597
834,9,4651
835,9,4548
836,9,4511
837,9,4499
838,9,4516
839,9,4728
840,9,4538
841,9,4673
842,9,4625
843,9,4553
844,9,4529
845,9,4487
846,9,4600
847,9,4585
848,9,4511
849,9,4555
850,9,4567
851,9,5412
852,9,5523
853,9,5474
854,9,5560
855,9,5474
856,9,5357
857,9,5357
858,9,5339
859,9,5271
860,9,5524
861,9,3669
862,9,3651
863,9,3684
864,9,3655
865,9,3674
866,9,3660
867,9,3652
868,9,3648
869,9,3617
870,9,3834
871,9,3697
872,9,3709
873,9,3675
874,9,3717
875,9,3699
876,9,3948
877,9,3904
878,9,3781
879,9,3709
880,9,3711
881,9,4666
882,9,4614
883,9,4677
884,9,4691
885,9,4597
886,9,4615
887,9,4629
888,9,4824
889,9,4690
890,9,4865
891,9,4562
892,9,5275
893,9,5066
894,9,4698
895,9,4663
896,9,4616
897,9,4778
898,9,4541
899,9,4544
900,9,4564
901,10,5374
902,10,4728
903,10,4873
904,10,4669
905,10,4666
906,10,4768
907,10,4602
908,10,4624
909,10,4629
910,10,4618
911,10,5650
912,10,4965
913,10,5022
914,10,4991
915,10,5457
916,10,5089
917,10,4905
918,10,4626
919,10,4551
920,10,4557
921,10,5726
922,10,5601
923,10,6807
924,10,5823
925,10,5818
926,10,6466
927,10,5384
928,10,5769
929,10,7280
930,10,5114
931,10,5398
932,10,4541
933,10,4843
934,10,5246
935,10,6411
936,10,5182
937,10,4515
938,10,4967
939,10,4800
940,10,4399
941,10,4491
942,10,4485
943,10,4423
944,10,4353
945,10,4578
946,10,4387
947,10,4545
948,10,4393
949,10,4303
950,10,4428
951,10,4912
952,10,4952
953,10,4764
954,10,4713
955,10,5545
956,10,4877
957,10,4837
958,10,4856
959,10,4786
960,10,4823
961,10,4187
962,10,3874
963,10,4107
964,10,3824
965,10,3875
966,10,3897
967,10,3892
968,10,3917
969,10,4054
970,10,3890
971,10,4045
972,10,4276
973,10,4431
974,10,3993
975,10,4394
976,10,3985
977,10,4699
978,10,4053
979,10,4246
980,10,3984
981,10,4510
982,10,4507
983,10,4488
984,10,4550
985,10,4378
986,10,4505
987,10,4639
988,10,4601
989,10,4521
990,10,4483
991,10,4455
992,10,4597
993,10,4239
994,10,4104
995,10,4207
996,10,4150
997,10,4159
998,10,4173
999,10,4198
1000,10,4208
1001,11,4766
1002,11,4837
1003,11,4665
1004,11,4593
1005,11,4680
1006,11,4702
1007,11,4780
1008,11,4675
1009,11,4641
1010,11,4613
1011,11,4614
1012,11,4656
1013,11,4871
1014,11,5484
1015,11,4530
1016,11,4835
1017,11,4834
1018,11,5406
1019,11,4869
1020,11,4943
1021,11,5059
1022,11,4818
1023,11,6818
1024,11,5271
1025,11,7789
1026,11,6692
1027,11,4663
1028,11,4781
1029,11,4493
1030,11,4608
1031,11,4512
1032,11,4970
1033,11,5837
1034,11,5304
1035,11,5577
1036,11,4557
1037,11,5238
1038,11,5006
1039,11,5292
1040,11,5912
1041,11,4971
1042,11,4559
1043,11,4682
1044,11,4554
1045,11,4580
1046,11,4486
1047,11,4525
1048,11,4457
1049,11,4544
1050,11,4495
1051,11,5618
1052,11,4954
1053,11,5311
1054,11,5279
1055,11,4987
1056,11,4908
1057,11,4904
1058,11,4926
1059,11,4877
1060,11,4862
1061,11,4097
1062,11,3934
1063,11,5280
1064,11,3922
1065,11,3955
1066,11,4047
1067,11,3928
1068,11,4294
1069,11,3936
1070,11,3963
1071,11,3949
1072,11,4144
1073,11,3747
1074,11,3642
1075,11,3761
1076,11,3961
1077,11,3929
1078,11,3889
1079,11,3865
1080,11,4005
1081,11,4553
1082,11,4621
1083,11,4763
1084,11,4598
1085,11,4595
1086,11,4617
1087,11,4550
1088,11,4556
1089,11,4630
1090,11,4564
1091,11,4489
1092,11,4332
1093,11,4313
1094,11,4264
1095,11,4328
1096,11,4284
1097,11,4265
1098,11,4254
1099,11,4280
1100,11,4253
1101,12,4889
1102,12,4697
1103,12,4751
1104,12,4722
1105,12,4708
1106,12,4662
1107,12,4687
1108,12,4721
1109,12,4840
1110,12,4789
1111,12,5379
1112,12,5105
1113,12,5062
1114,12,4623
1115,12,4594
1116,12,5191
1117,12,5357
1118,12,5148
1119,12,4946
1120,12,4899
1121,12,4613
1122,12,5267
1123,12,8017
1124,12,6675
1125,12,6362
1126,12,6876
1127,12,5655
1128,12,4578
1129,12,5246
1130,12,5910
1131,12,4605
1132,12,4604
1133,12,4566
1134,12,4570
1135,12,4696
1136,12,4608
1137,12,4596
1138,12,5025
1139,12,6089
1140,12,6137
1141,12,4500
1142,12,4753
1143,12,4492
1144,12,4523
1145,12,4458
1146,12,4526
1147,12,4505
1148,12,4520
1149,12,4532
1150,12,4652
1151,12,5177
1152,12,5220
1153,12,5215
1154,12,4930
1155,12,4944
1156,12,4926
1157,12,4997
1158,12,5010
1159,12,5159
1160,12,5008
1161,12,3838
1162,12,3905
1163,12,3901
1164,12,3656
1165,12,3678
1166,12,3639
1167,12,3648
1168,12,3648
1169,12,3606
1170,12,3557
1171,12,3927
1172,12,4461
1173,12,3956
1174,12,4231
1175,12,3996
1176,12,4034
1177,12,3904
1178,12,3859
1179,12,3655
1180,12,4549
1181,12,4715
1182,12,4635
1183,12,4652
1184,12,4668
1185,12,4697
1186,12,4639
1187,12,4598
1188,12,4767
1189,12,4662
1190,12,4707
1191,12,4247
1192,12,4348
1193,12,4265
1194,12,4319
1195,12,4318
1196,12,4308
1197,12,4260
1198,12,4269
1199,12,4431
1200,12,4542
1201,13,4765
1202,13,4741
1203,13,4653
1204,13,4559
1205,13,4588
1206,13,4558
1207,13,4581
1208,13,4786
1209,13,4501
1210,13,4599
1211,13,4659
1212,13,8215
1213,13,5963
1214,13,7878
1215,13,5610
1216,13,4802
1217,13,4711
1218,13,5401
1219,13,5815
1220,13,4836
1221,13,8585
1222,13,4998
1223,13,6064
1224,13,6558
1225,13,6824
1226,13,5883
1227,13,8321
1228,13,5244
1229,13,6985
1230,13,4899
1231,13,5234
1232,13,5394
1233,13,6048
1234,13,5029
1235,13,4327
1236,13,4420
1237,13,4757
1238,13,6036
1239,13,5940
1240,13,5975
1241,13,4376
1242,13,4644
1243,13,4830
1244,13,4775
1245,13,4525
1246,13,4834
1247,13,4691
1248,13,4864
1249,13,4890
1250,13,4713
1251,13,4761
1252,13,4815
1253,13,4857
1254,13,4889
1255,13,4832
1256,13,4941
1257,13,4743
1258,13,4880
1259,13,4803
1260,13,4909
1261,13,3558
1262,13,3693
1263,13,3524
1264,13,3567
1265,13,3543
1266,13,3491
1267,13,3553
1268,13,3625
1269,13,3763
1270,13,3608
1271,13,4112
1272,13,4188
1273,13,3877
1274,13,3887
1275,13,4063
1276,13,3947
1277,13,3879
1278,13,3828
1279,13,3963
1280,13,3689
1281,13,4528
1282,13,4487
1283,13,5323
1284,13,4977
1285,13,4667
1286,13,4544
1287,13,4502
1288,13,4519
1289,13,4479
1290,13,4524
1291,13,4274
1292,13,4173
1293,13,4183
1294,13,4851
1295,13,4316
1296,13,4209
1297,13,4207
1298,13,4252
1299,13,4190
1300,13,4203
1301,14,4716
1302,14,4628
1303,14,4669
1304,14,4677
1305,14,4632
1306,14,4851
1307,14,4752
1308,14,4605
1309,14,4649
1310,14,4658
1311,14,4695
1312,14,4786
1313,14,4975
1314,14,4752
1315,14,4886
1316,14,5134
1317,14,5040
1318,14,5028
1319,14,5129
1320,14,4683
1321,14,6617
1322,14,5552
1323,14,4602
1324,14,4548
1325,14,4553
1326,14,4989
1327,14,5413
1328,14,5049
1329,14,7474
1330,14,8849
1331,14,7619
1332,14,5560
1333,14,6268
1334,14,5778
1335,14,8213
1336,14,5039
1337,14,4606
1338,14,5142
1339,14,5448
1340,14,5837
1341,14,4625
1342,14,4499
1343,14,4595
1344,14,4630
1345,14,5015
1346,14,4916
1347,14,5224
1348,14,5403
1349,14,4973
1350,14,4860
1351,14,4967
1352,14,4923
1353,14,4831
1354,14,5026
1355,14,4867
1356,14,5050
1357,14,5160
1358,14,5117
1359,14,5034
1360,14,4881
1361,14,3574
1362,14,3778
1363,14,3675
1364,14,3639
1365,14,3606
1366,14,3568
1367,14,3546
1368,14,3578
1369,14,3622
1370,14,3618
1371,14,3943
1372,14,4686
1373,14,3874
1374,14,4053
1375,14,4500
1376,14,3890
1377,14,4007
1378,14,4129
1379,14,4019
1380,14,3956
1381,14,4693
1382,14,4761
1383,14,4514
1384,14,4850
1385,14,4580
1386,14,4623
1387,14,4459
1388,14,4478
1389,14,4823
1390,14,4625
1391,14,4342
1392,14,4350
1393,14,4154
1394,14,4155
1395,14,4235
1396,14,4264
1397,14,4231
1398,14,4353
1399,14,4274
1400,14,4248
1401,15,4720
1402,15,4637
1403,15,4771
1404,15,4701
1405,15,4899
1406,15,4850
1407,15,4896
1408,15,4805
1409,15,4807
1410,15,6057
1411,15,4721
1412,15,4671
1413,15,4861
1414,15,5105
1415,15,5595
1416,15,4942
1417,15,4682
1418,15,4721
1419,15,4646
1420,15,4754
1421,15,6408
1422,15,5993
1423,15,6642
1424,15,5999
1425,15,6366
1426,15,6526
1427,15,6250
1428,15,5597
1429,15,6204
1430,15,5730
1431,15,5109
1432,15,5162
1433,15,8004
1434,15,5803
1435,15,5607
1436,15,7847
1437,15,6874
1438,15,7243
1439,15,6260
1440,15,7646
1441,15,4821
1442,15,4776
1443,15,4894
1444,15,4717
1445,15,4803
1446,15,4951
1447,15,4915
1448,15,4613
1449,15,4730
1450,15,4863
1451,15,4911
1452,15,5160
1453,15,5066
1454,15,4973
1455,15,5206
1456,15,5835
1457,15,5257
1458,15,5057
1459,15,5040
1460,15,6733
1461,15,3600
1462,15,3817
1463,15,3639
1464,15,3629
1465,15,3649
1466,15,3658
1467,15,3640
1468,15,3686
1469,15,3652
1470,15,3638
1471,15,4024
1472,15,4216
1473,15,4027
1474,15,3932
1475,15,3962
1476,15,3830
1477,15,3731
1478,15,4075
1479,15,4114
1480,15,4040
1481,15,4681
1482,15,4648
1483,15,4696
1484,15,4638
1485,15,4686
1486,15,4636
1487,15,4599
1488,15,4800
1489,15,4840
1490,15,4848
1491,15,4223
1492,15,5230
1493,15,4298
1494,15,4284
1495,15,4305
1496,15,4237
1497,15,4518
1498,15,4496
1499,15,4258
1500,15,4094
1501,16,4562
1502,16,4595
1503,16,4738
1504,16,4527
1505,16,5293
1506,16,4842
1507,16,4719
1508,16,4768
1509,16,4747
1510,16,4698
1511,16,4624
1512,16,5767
1513,16,4284
1514,16,9498
1515,16,8791
1516,16,9210
1517,16,9405
1518,16,9461
1519,16,7554
1520,16,4371
1521,16,6041
1522,16,5279
1523,16,5155
1524,16,4488
1525,16,4700
1526,16,5411
1527,16,5089
1528,16,8215
1529,16,7020
1530,16,7319
1531,16,5946
1532,16,6854
1533,16,6014
1534,16,4530
1535,16,6446
1536,16,5302
1537,16,5097
1538,16,6282
1539,16,4482
1540,16,4838
1541,16,4670
1542,16,4700
1543,16,4621
1544,16,4794
1545,16,4695
1546,16,5321
1547,16,4682
1548,16,4711
1549,16,4584
1550,16,4515
1551,16,5268
1552,16,5201
1553,16,5589
1554,16,5483
1555,16,5252
1556,16,5116
1557,16,5227
1558,16,5313
1559,16,4999
1560,16,5788
1561,16,3554
1562,16,3847
1563,16,3531
1564,16,3550
1565,16,3531
1566,16,3547
1567,16,3579
1568,16,3592
1569,16,3506
1570,16,3543
1571,16,3914
1572,16,4042
1573,16,3794
1574,16,3870
1575,16,4279
1576,16,4037
1577,16,4072
1578,16,3984
1579,16,3874
1580,16,3818
1581,16,4506
1582,16,4505
1583,16,4387
1584,16,4558
1585,16,4550
1586,16,4471
1587,16,4493
1588,16,4511
1589,16,4506
1590,16,4535
1591,16,4135
1592,16,4141
1593,16,4170
1594,16,4280
1595,16,4107
1596,16,4105
1597,16,4226
1598,16,4213
1599,16,4165
1600,16,4088
1601,17,4893
1602,17,4949
1603,17,4729
1604,17,4745
1605,17,4746
1606,17,4812
1607,17,4763
1608,17,4739
1609,17,4847
1610,17,4845
1611,17,4464
1612,17,4390
1613,17,4321
1614,17,4437
1615,17,4384
1616,17,4406
1617,17,4282
1618,17,4479
1619,17,4547
1620,17,4737
1621,17,4970
1622,17,4677
1623,17,5203
1624,17,4720
1625,17,5066
1626,17,4543
1627,17,4609
1628,17,4606
1629,17,5057
1630,17,4527
1631,17,4496
1632,17,5726
1633,17,5767
1634,17,5780
1635,17,6148
1636,17,6950
1637,17,6080
1638,17,6317
1639,17,4977
1640,17,5255
1641,17,4448
1642,17,4416
1643,17,4956
1644,17,5345
1645,17,4920
1646,17,5645
1647,17,4750
1648,17,9513
1649,17,5929
1650,17,4987
1651,17,6110
1652,17,5500
1653,17,5477
1654,17,5211
1655,17,6058
1656,17,5416
1657,17,5095
1658,17,5126
1659,17,5118
1660,17,5148
1661,17,3873
1662,17,3942
1663,17,4393
1664,17,3972
1665,17,4251
1666,17,3770
1667,17,3813
1668,17,4023
1669,17,4227
1670,17,3979
1671,17,3708
1672,17,3834
1673,17,3834
1674,17,4054
1675,17,3895
1676,17,3925
1677,17,4106
1678,17,4166
1679,17,4692
1680,17,4282
1681,17,4636
1682,17,4518
1683,17,4611
1684,17,4628
1685,17,4593
1686,17,4959
1687,17,4604
1688,17,4624
1689,17,4596
1690,17,4490
1691,17,4319
1692,17,4245
1693,17,4189
1694,17,4333
1695,17,4270
1696,17,4234
1697,17,4292
1698,17,4315
1699,17,4285
1700,17,4313
1701,18,4804
1702,18,4814
1703,18,4683
1704,18,4781
1705,18,4680
1706,18,4788
1707,18,4785
1708,18,4766
1709,18,4966
1710,18,4753
1711,18,4496
1712,18,4517
1713,18,4353
1714,18,4492
1715,18,4488
1716,18,4292
1717,18,4385
1718,18,4470
1719,18,4457
1720,18,4392
1721,18,4640
1722,18,4657
1723,18,4708
1724,18,4602
1725,18,4596
1726,18,4578
1727,18,4668
1728,18,4575
1729,18,4963
1730,18,4616
1731,18,5461
1732,18,7415
1733,18,4813
1734,18,5642
1735,18,9243
1736,18,5267
1737,18,8068
1738,18,8095
1739,18,9001
1740,18,6148
1741,18,5393
1742,18,5442
1743,18,5061
1744,18,5604
1745,18,5977
1746,18,8612
1747,18,5493
1748,18,6110
1749,18,6046
1750,18,4726
1751,18,5473
1752,18,5031
1753,18,8118
1754,18,5438
1755,18,5534
1756,18,5575
1757,18,5417
1758,18,5312
1759,18,5269
1760,18,5374
1761,18,4402
1762,18,4148
1763,18,3979
1764,18,4158
1765,18,4021
1766,18,3920
1767,18,3899
1768,18,3688
1769,18,3864
1770,18,3928
1771,18,4162
1772,18,4748
1773,18,4285
1774,18,3866
1775,18,4089
1776,18,3902
1777,18,3954
1778,18,3890
1779,18,3971
1780,18,3931
1781,18,4598
1782,18,4625
1783,18,4642
1784,18,4697
1785,18,4930
1786,18,4846
1787,18,4614
1788,18,4604
1789,18,4700
1790,18,4646
1791,18,4344
1792,18,4261
1793,18,4162
1794,18,4293
1795,18,4456
1796,18,4605
1797,18,4429
1798,18,4291
1799,18,4205
1800,18,4336
1801,19,4551
1802,19,4519
1803,19,4513
1804,19,4548
1805,19,4558
1806,19,4525
1807,19,4722
1808,19,4493
1809,19,4524
1810,19,4536
1811,19,4301
1812,19,4352
1813,19,5108
1814,19,4462
1815,19,4480
1816,19,4546
1817,19,4256
1818,19,4183
1819,19,4089
1820,19,4285
1821,19,4438
1822,19,4459
1823,19,4477
1824,19,4368
1825,19,4359
1826,19,4338
1827,19,4344
1828,19,4770
1829,19,4570
1830,19,5012
1831,19,7288
1832,19,7087
1833,19,5538
1834,19,6296
1835,19,5620
1836,19,4987
1837,19,5988
1838,19,4893
1839,19,4979
1840,19,4322
1841,19,4433
1842,19,5715
1843,19,4842
1844,19,4643
1845,19,4420
1846,19,4355
1847,19,4431
1848,19,4360
1849,19,4366
1850,19,4317
1851,19,5493
1852,19,4976
1853,19,4998
1854,19,5063
1855,19,5059
1856,19,4864
1857,19,5592
1858,19,5160
1859,19,5063
1860,19,4882
1861,19,3939
1862,19,3899
1863,19,3808
1864,19,3881
1865,19,4014
1866,19,3794
1867,19,3740
1868,19,3746
1869,19,3966
1870,19,3810
