Scenario,Average,CI-L,CI-H
1,70.3320849302,68.8639802871,71.8001895733
2,89.6605103461,88.3139490203,91.0070716718
3,100.0,100.0,100.0
4,70.7653308232,69.3875552745,72.1431063718
5,89.0685290863,87.6131234941,90.5239346786
6,100.0,100.0,100.0
7,70.5139446438,68.9492840033,72.0786052843
8,88.2484458135,86.8253637189,89.6715279081
9,100.0,100.0,100.0
10,25.3471919569,23.8533674982,26.8410164156
11,57.8190353988,55.8254832773,59.8125875202
12,99.9581039878,99.8950459009,100.021162075
13,25.8097551605,24.5394155808,27.0800947402
14,55.8297144455,53.9496293263,57.7097995647
15,99.9179199332,99.7993319878,100.036507879
16,25.6569827323,24.2382474485,27.075718016
17,56.6962830983,54.975275259,58.4172909377
18,99.9391163099,99.8472518237,100.030980796
19,5.35224253184,4.76626979633,5.93821526735
20,21.4015792481,20.1822737903,22.620884706
21,95.0688053004,94.1141874638,96.023423137
22,5.13519211181,4.53887757701,5.73150664662
23,22.2516434168,20.9019583441,23.6013284894
24,95.0386692838,94.0230600447,96.054278523
25,5.37640367711,4.73433705076,6.01847030346
26,22.4157720205,21.0822012097,23.7493428312
27,94.7854040389,93.7923751353,95.7784329425
28,0.6029677329,0.503771449652,0.702164016148
29,3.81845180495,3.28849631121,4.34840729869
30,63.1526099281,61.2179924885,65.0872273676
31,0.6029677329,0.503771449652,0.702164016148
32,4.29634380397,3.75467740715,4.83801020079
33,63.1526099281,61.2179924885,65.0872273676
34,0.6029677329,0.503771449652,0.702164016148
35,3.60397943009,3.11767532845,4.09028353173
36,63.1526099281,61.2179924885,65.0872273676
37,94.5679633661,93.6412747188,95.4946520134
38,94.6405231674,93.7713845275,95.5096618073
39,94.3330456191,93.3529627962,95.3131284421
40,97.1334247598,96.3818203735,97.8850291461
41,97.6773235159,97.0164518351,98.3381951967
42,97.2497195939,96.4556819254,98.0437572624
43,100.0,100.0,100.0
44,100.0,100.0,100.0
45,100.0,100.0,100.0
46,71.8813715716,70.1746290855,73.5881140578
47,87.1403360553,85.6912171862,88.5894549245
48,95.8467932761,95.069578197,96.6240083553
49,71.4787929259,69.9435365367,73.0140493152
50,89.0896215841,87.8030030071,90.3762401612
51,98.10373874,97.5323641501,98.67511333
52,69.6298721059,68.1753897478,71.0843544641
53,88.6255767492,87.2970111957,89.9541423027
54,100.0,100.0,100.0
