Scenario,Average,CI-L,CI-H
1,13.6015462583,13.1004691683,14.1026233483
2,7.30803733593,6.84886876006,7.7672059118
3,3.47002922597,3.44009495755,3.49996349439
4,13.8034063816,13.3134046599,14.2934081032
5,7.20472339865,6.7371144141,7.6723323832
6,3.47002922597,3.44009495755,3.49996349439
7,13.6163572863,13.0815680324,14.1511465401
8,7.56474066744,7.12806414124,8.00141719364
9,3.47002922597,3.44009495755,3.49996349439
10,24.9379682429,24.4270801337,25.4488563522
11,17.4555670995,16.8176665953,18.0934676038
12,3.49546732659,3.45045127222,3.54048338096
13,25.2020385629,24.6997165342,25.7043605915
14,18.1750997711,17.473210235,18.8769893071
15,3.51213862418,3.46139071565,3.5628865327
16,25.0747643143,24.5814486476,25.5680799809
17,17.5389669865,16.8857932684,18.1921407045
18,3.52154399682,3.4627716971,3.58031629654
19,27.5910651986,27.2182642083,27.9638661889
20,25.956309302,25.409389,26.503229604
21,5.49656477889,5.12471712019,5.86841243759
22,27.6748613019,27.2953974303,28.0543251736
23,25.9249708072,25.4402877231,26.4096538914
24,5.47445488242,5.06776181587,5.88114794898
25,27.6570964416,27.2808000874,28.0333927958
26,25.9531159994,25.3837378794,26.5224941194
27,5.57887359034,5.19175998353,5.96598719714
28,27.7623798204,27.4205153248,28.1042443159
29,27.8126419507,27.4414162102,28.1838676912
30,15.3377772036,14.9195467604,15.7560076467
31,27.7623798204,27.4205153248,28.1042443159
32,27.6615067225,27.3301500985,27.9928633466
33,15.3377772036,14.9195467604,15.7560076467
34,27.7623798204,27.4205153248,28.1042443159
35,27.759088467,27.4065599182,28.1116170158
36,15.3377772036,14.9195467604,15.7560076467
37,5.37368425323,5.06131069154,5.68605781492
38,5.45801919607,5.1656666543,5.75037173785
39,5.4452089142,5.14174734877,5.74867047962
40,4.51194076379,4.25512517801,4.76875634957
41,4.18574420319,3.98252156973,4.38896683665
42,4.49299372098,4.21745775111,4.76852969084
43,3.47002922597,3.44009495755,3.49996349439
44,3.47002922597,3.44009495755,3.49996349439
45,3.47002922597,3.44009495755,3.49996349439
46,13.6091370013,13.0881173196,14.130156683
47,8.4062649349,7.84352427813,8.96900559168
48,5.16585503567,4.87260767618,5.45910239516
49,13.5088800344,12.9807479513,14.0370121174
50,7.69670842176,7.23792246127,8.15549438225
51,4.17404997971,3.9661292765,4.38197068292
52,13.7431820361,13.2052468362,14.2811172359
53,7.44694832042,7.00036222526,7.89353441559
54,3.47002922597,3.44009495755,3.49996349439
55,24.3894291814,23.8727443723,24.9061139906
56,17.0739681214,16.3796071389,17.768329104
57,4.7521812414,4.49565232143,5.00871016138
58,24.7302750973,24.2692434404,25.1913067543
59,17.2374914381,16.5972059104,17.8777769657
60,4.17244588887,3.96629977583,4.3785920019
61,25.1553264635,24.6215740232,25.6890789037
62,17.6056563429,16.8889108898,18.3224017961
63,3.55745513482,3.47473370443,3.6401765652
64,27.544253553,27.1571423692,27.9313647367
65,25.4160621558,24.8534573178,25.9786669937
66,5.92855001097,5.48451263296,6.37258738898
67,27.7216101975,27.3726409191,28.070579476
68,25.8470838394,25.3527405405,26.3414271383
69,5.77645788386,5.36407405987,6.18884170785
70,27.6999277728,27.3479143315,28.0519412141
71,25.6940349817,25.1419323131,26.2461376503
72,5.71749210577,5.28521838353,6.14976582802
73,27.7174827624,27.3839792793,28.0509862454
74,27.7369013413,27.3724819487,28.101320734
75,14.0875888645,13.5829814349,14.592196294
76,27.7878035492,27.4513076147,28.1242994837
77,27.7494941309,27.4096727566,28.0893155051
78,14.9291219004,14.4231168717,15.4351269292
79,27.7623798204,27.4205153248,28.1042443159
80,27.8236239561,27.4785465788,28.1687013334
81,15.6410609005,15.233427891,16.0486939099
82,8.68216473341,8.26088187696,9.10344758986
83,8.70900038156,8.33404934015,9.08395142296
84,8.60823590926,8.12599455493,9.09047726358
85,5.80071546341,5.47245511938,6.12897580743
86,5.83249464405,5.45522423279,6.2097650553
87,6.11992602163,5.78695486,6.45289718327
88,3.47002922597,3.44009495755,3.49996349439
89,3.47002922597,3.44009495755,3.49996349439
90,3.47002922597,3.44009495755,3.49996349439
91,13.8785574999,13.3472665156,14.4098484841
92,9.78441252939,9.25325994656,10.3155651122
93,8.00058138196,7.64065122261,8.36051154132
94,13.6330100147,13.0177220647,14.2482979646
95,8.48183744542,7.98080528664,8.98286960421
96,5.52041537869,5.13901280975,5.90181794763
97,13.9532810162,13.4450332192,14.4615288131
98,7.76279176866,7.32184873029,8.20373480702
99,3.47002922597,3.44009495755,3.49996349439
100,23.794710054,23.2135670685,24.3758530395
101,16.6489295671,16.0171706003,17.2806885339
102,6.98816427291,6.59219370934,7.38413483648
103,24.3505117275,23.7751079257,24.9259155292
104,17.3469588072,16.7256508895,17.9682667249
105,5.088471443,4.79142647545,5.38551641054
106,24.9695725538,24.4204880849,25.5186570226
107,17.9484516441,17.2493421029,18.6475611852
108,3.56231300212,3.48503194554,3.63959405869
109,27.3050858318,26.9562343253,27.6539373383
110,24.8728733967,24.2901828034,25.45556399
111,7.30981298383,6.86806952851,7.75155643915
112,27.5460476664,27.1576142495,27.9344810833
113,25.2346860102,24.6411615089,25.8282105114
114,6.40835772139,5.99096340408,6.8257520387
